"ID","Question","Option1","Option2","Option3","Option4","Answer","Explanation"
1,"合意したサービス提供時間帯のうち, 実際に顧客が IT サービスを利用できた時間の割合で表されるものはどれか。","ア 可用性","イ 機能性","ウ 効率性","エ 使用性",1,"（解説なし）"
2,"IT サービスマネジメントに関して, 次の記述中の a, b に入れる字句の適切な組合せはどれか。 a はサービス提供者と顧客との間で合意されたサービス品質に関する合意書である。 a の遵守状況を確認し, IT サービスの品質を維持・改善させるための活動が b である。","ア NDA SCM","イ NDA SLM","ウ SLA SCM","エ SLA SLM",4,"（解説なし）"
3,"情報セキュリティ監査の説明として, 最も適切なものはどれか。","ア 一定の基準に基づいて IT システムの利活用に係る検証・評価を行い,ガバナンスの適切性などに対する保証や改善のための助言を行うもの","イ コンピュータの盗難や不正な持出しを物理的に防止し, 情報セキュリティを確保するためのツール","ウ 組織体の価値及び組織体への信頼を向上させるために, 組織体におけるIT システムの利活用のあるべき姿を示す IT 戦略と方針の策定及びその実現のための活動","エ 組織の情報資産に関わるリスクマネジメントが効果的に実施されているかどうかの検証又は評価",4,"（解説なし）"
4,"ソフトウェア開発モデルであるアジャイルモデルの特徴に関して, 次の記述中の a, bに入れる字句の適切な組合せはどれか。 アジャイルモデルとは、要件を確定してから開発を実施するウォーターフォールモデルの a する形で提唱された, b できるようにソフトウェアを開発するための手法の総称である。","ア 課題を改善 開発工程で生じる種々の変更に迅速に対応","イ 課題を改善 開発工程を順に実施","ウ 特徴を継承 開発工程で生じる種々の変更に迅速に対応","エ 特徴を継承 開発工程を順に実施",1,"（解説なし）"
5,"変更管理委員会が設置されているプロジェクトで変更要求が発生した場合の記述として,最も適切なものはどれか。","ア 変更管理委員会では,プロジェクトに関わるステークホルダ以外の第三者によって変更要求が審議される。","イ 変更管理委員会は,コストの増加や期日の延期を理由に変更要求を却下してよい。","ウ 変更管理委員会は、スコープに変更が発生しない範囲で変更要求を受け付けなければならない。","エ 変更要求は,全てプロジェクトマネージャが承認した後に変更管理委員会で審議される。",2,"（解説なし）"
6,"システム開発プロジェクトで使用される技法のうち, スケジュール作成に用いる技法として、 適切なものだけを全て挙げたものはどれか。 a DFD (Data Flow Diagram) b 回帰分析 c クリティカルパス法 d プレシデンスダイアグラム法","ア a, b","イ a, d","ウ b, c","エ c, d",4,"（解説なし）"
7,"床下にネットワーク配線などのために一定の高さの空間をとり, 容易に取り外しが可能なパネルを床板として並べたものはどれか。","ア フリーアクセスフロア","イ フリーアドレス","ウ フリースペース","エ フリースポット",1,"（解説なし）"
8,"営業部門の営業員が出張する際の出張旅費の手続に関して, 組織間でけん制を日常的に実施している状況の記述として,最も適切なものはどれか。","ア 営業員が出張後に経理部門に提出した旅費精算の書類と証票類について, 経理担当者が適切な内容であることを審査し、経理課長が承認する。","イ 営業員が出張後に旅費の精算を行い, 上長が承認を行う。 経理部門では承認済みであるので支払を行う。","ウ 営業員は出張の事前申請を行って上長の承認を得た後に、切符や宿泊施設の手配を旅行会社に依頼する。","エ 会計年度における営業部門の旅費精算の書類と証票類から,監査人がサンプリングして,営業員の処理内容の適切性を確認する。",1,"（解説なし）"
9,"システム開発の早い段階で, 目に見える形で利用者の要求が確認できるように確認用のソフトウェアを作成するソフトウェア開発モデルとして, 最も適切なものはどれか。","ア アジャイル","イ ウォーターフォール","ウ スパイラル","エ プロトタイピング",4,"（解説なし）"
10,"計画時の予算が2,000万円で40日間で100本のプログラムを作成するプロジェクトがある。プロジェクトが20日経過した時点で全体の40%である40本のプログラムが完成し, 1,000万円のコストが掛かった。 プロジェクトの指標を次の評価式で算出する場合, プロジェクトの指標として適切な組合せはどれか。 ここで,各プログラムの作成に必要な日数及びコストは全て同一で, プロジェクト期間中は常に同じ量の作業が実施されるものとする。 [評価式] スケジュール (%): (完成したプログラム本数/評価時点での完成見込みプログラム本数)×100 コスト (%): (完成したプログラムに掛かったコスト/完成したプログラム分として計画したコスト)×100","ア スケジュール(%) 80 コスト (%) 125","イ スケジュール(%) 80 コスト (%) 100","ウ スケジュール(%) 90 コスト (%) 125","エ スケジュール(%) 90 コスト (%) 100",1,"（解説なし）"
11,"開発が完了したソフトウェアを本番環境にインストールする手順を明確にし, それを実施する工程として, 適切なものはどれか。","ア ソフトウェア統合","イ ソフトウェア導入","ウ 妥当性確認","エ 利用者教育",2,"（解説なし）"
12,"利用者が銀行のATMのパネルを操作して入金処理を行う。 この操作の要件を定義するときに, ソフトウェア開発の品質特性である使用性を考慮すべきインタフェースとして,最も適切なものはどれか。","ア OS とパネルのインタフェース","イ ソフトウェア間のインタフェース","ウ ハードウェアとOSのインタフェース","エ 利用者とパネルのインタフェース",4,"（解説なし）"
13,"顧客から委託されたシステム開発プロジェクトのスコープの対象として, 適切なものだけを全て挙げたものはどれか。 a プロジェクトで作成する成果物 b プロジェクトで使用する市販のスケジュール管理ツール c プロジェクトの要求事項を顧客が記載した文書","ア a","イ a, b","ウ b, c","エ c",1,"（解説なし）"
14,"クラウドサービスを提供するA社では, 操作に関する質問に対して, サービスデスクのオペレーターが電話で対応するだけでなく, ホームページ上に FAQ を公開している。 サービスデスクの受付時間は午前9時から午後6時までである。 このたびサービスデスクのサービスレベルを向上させるために,顧客向けのチャットボットを導入することにした。チャットボット導入の効果として, 最も適切なものはどれか。","ア オペレーターのチャットのスキルが向上する。","イ オペレーターの電話対応のスキルが向上する。","ウ 問合せの受付時間を拡大することが可能になる。","エ ホームページ上に掲載している FAQ の内容が充実する。",3,"（解説なし）"
15,"チャットボットの説明として,最も適切なものはどれか。","ア 質問に対して, ソフトウェアがリアルタイムで自動応答する仕組み","イ センサーを搭載した機器や制御装置が直接インターネットにつながり,お互いに情報をやり取りする仕組み","ウ 人間に代わって荷物を運ぶなどの作業を行う機械的な仕組み","エ ルール化された定型的な操作を人間の代わりにソフトウェアが自動で行う仕組み",1,"（解説なし）"
16,"社内で開発及び運用を行っている経理システムの内部監査を実施するとき,システム監査人として, 最も適切なものはどれか。","ア 経理システムの運用担当者","イ 経理システムの開発を担当した委託会社の従業員","ウ 経理システムの利用者である経理担当者","エ 経理と IT の知識を有する経営者直轄組織の従業員",4,"（解説なし）"
17,"A 社は会計システムの再構築のプロジェクトを立ち上げ, システム開発を B 社に外部委託している。 B 社から納品される成果物の検収において, プロジェクトの品質管理に係る手続を遵守しているかどうかのシステム監査を行う監査人として適切な者は誰か。","ア 会計システムの再構築に関与しないA社の管理部門のリーダー","イ 会計システムの再構築を担当するA社のプロジェクトマネージャ","ウ 会計システムの再構築を担当するB社のシステム開発リーダー","エ 会計システムの再構築を担当するB社の品質管理責任者",1,"（解説なし）"
18,"内部統制の基本的要素の一つである ""IT への対応” に関する記述として,最も適切なものはどれか。","ア ITを活用すると業務処理を迅速化でき, 不注意によるミスを全て防止できる。","イ 既存の IT の利用者の拡大や, 使い方の変更などで組織目標を達成できるのであれば,新たなIT システムの導入やIT システムの更新を強いるものではない。","ウ 全ての業務プロセスを IT で自動化することによって、業務プロセスを大幅に修正することが容易になる。","エ 組織の業務が IT に大きく依存すると, 内部統制の目的を達成することが難しくなる。",2,"（解説なし）"
