id,question,option1,option2,option3,option4,answerIndex,explanation,tags
stg-001,"PEST分析のTに該当するのはどれか？","Tax(税)","Talent(人材)","Technology(技術)","Trade(貿易)",3,"PESTのTはTechnology(技術)。","ストラテジ"
stg-002,"SWOTのうち外部環境に該当するものはどれか？","Strength","Weakness","Opportunity","Skill",3,"外部はOpportunityとThreat。","ストラテジ"
stg-003,"差別化戦略の狙いとして最も近いものはどれか？","最低価格で勝つ","独自価値で選ばれる","市場から撤退する","ニッチ市場を捨てる",2,"差別化は価格以外の独自価値で競争。","ストラテジ"
stg-004,"コストリーダーシップ戦略の前提として適切なのはどれか？","高付加価値重視","規模の経済の活用","顧客ごとの個別対応","広告集中投下",2,"大規模化などでコスト優位を確立。","ストラテジ"
stg-005,"集中戦略の対象として適切なのはどれか？","広範な大衆市場","多国籍市場","特定のセグメント","全顧客層",3,"特定ニッチに資源集中する。","ストラテジ"
stg-006,"ファイブフォースに含まれるのはどれか？","代替製品の脅威","政府の規制","為替レート","金利動向",1,"代替製品の脅威は五つの力の一つ。","ストラテジ"
stg-007,"バリューチェーンの支援活動はどれか？","出荷物流","販売・サービス","調達","操業",3,"調達や技術開発などは支援活動。","ストラテジ"
stg-008,"経験曲線効果の説明として適切なのはどれか？","量が増えるほど単位コストが低下","量が増えるほど単位コストが上昇","価格が上がると需要が増える","品質が上がるとコストが上がる",1,"累積経験で効率化しコスト低下。","ストラテジ"
stg-009,"PPMにおける問題児の特徴はどれか？","高成長・高シェア","高成長・低シェア","低成長・高シェア","低成長・低シェア",2,"高成長市場だがシェアが低い。","ストラテジ"
stg-010,"PPMの金のなる木の戦略はどれか？","投資拡大","収穫・資金源化","撤退","市場開発",2,"低成長・高シェアで資金創出源。","ストラテジ"
stg-011,"アンゾフの市場浸透の施策として適切なのはどれか？","新市場に進出","既存顧客の購買頻度増加","新製品開発","多角化",2,"既存市場×既存製品の深掘り。","ストラテジ"
stg-012,"3C分析の3つのCに含まれないものはどれか？","Company","Customer","Competitor","Cost",4,"3Cは自社・顧客・競合。","ストラテジ"
stg-013,"KPIの説明として最も適切なのはどれか？","最終目標","重要業績評価指標","資本費用","品質規格",2,"目標達成のための中間指標。","ストラテジ"
stg-014,"OKRのOに該当するものはどれか？","Objective","Operation","Optimization","Opportunity",1,"OKRはObjectiveとKey Results。","ストラテジ"
stg-015,"ブルーオーシャン戦略の手段に近いものはどれか？","差別化と低コストの同時追求","価格競争の激化","模倣の迅速化","広告予算増",1,"価値革新で新市場を創出。","ストラテジ"
stg-016,"CSF(重要成功要因)の活用目的はどれか？","利益配分","重要領域への集中","税最適化","在庫最適化",2,"成功に不可欠な要因へ資源集中。","ストラテジ"
stg-017,"BSC(バランス・スコアカード)の視点に含まれるのはどれか？","法務","財務","倉庫","購買",2,"財務・顧客・内部プロセス・学習成長。","ストラテジ"
stg-018,"ブランドエクイティの構成に近いものはどれか？","在庫回転","認知・忠誠・知覚品質","固定資産回転","労働生産性",2,"ブランドの価値要素。","ストラテジ"
stg-019,"イノベーションのジレンマが示す状況はどれか？","既存顧客の要求に集中して破壊的技術に遅れる","価格競争で利益が増える","広告で需要が確実に伸びる","多角化で集中が高まる",1,"既存志向で破壊的技術を見逃す。","ストラテジ"
stg-020,"プロダクトライフサイクル導入期の特徴はどれか？","価格低下と競争激化","販促費が高く需要創出が課題","利益最大","撤退判断",2,"導入期は教育・認知にコスト。","ストラテジ"
stg-021,"価格弾力性が大きい商品で値上げするとどうなる？","売上増","需要大幅減","需要不変","在庫減",2,"弾力的需要は価格上昇に敏感。","ストラテジ"
stg-022,"スイッチングコストの例として適切なのはどれか？","返品送料","新規契約割引","学習コスト","即時決済",3,"乗り換えに伴う学習・移行の負担。","ストラテジ"
stg-023,"ネットワーク外部性の説明はどれか？","ネットワーク機器の劣化","利用者が増えるほど価値が上がる","広告費が増えるほど効果が上がる","在庫が増えるほど価値が上がる",2,"参加者増で価値が増す。","ストラテジ"
stg-024,"プラットフォーム戦略の鍵はどれか？","垂直統合のみ","両面市場の活性化","単一価格政策","在庫の最小化",2,"供給側・需要側の両面を育てる。","ストラテジ"
stg-025,"スケールメリットの主な源泉はどれか？","学習効果・固定費分散","為替差益","税優遇","ブランドロイヤルティ",1,"量産で固定費が薄まりコスト低下。","ストラテジ"
