id,question,opt1,opt2,opt3,opt4,answer,explanation,tag,difficulty
63001,"クラウドネイティブアプリケーションの特徴はどれか？","自前サーバでのみ動作する","コンテナとマイクロサービスで拡張性を確保する","モノリシックアーキテクチャで一括デプロイ","全ての設定を手動管理する",2,"クラウドネイティブはコンテナやマイクロサービスを用いスケールと可用性を向上させる。","テクノロジ","標準"
63002,"デジタルツインの本質的な利点はどれか？","実世界を仮想環境でリアルタイムに再現し分析できる","紙の帳票をPDFに変換する","物理モデルを必ず固定したまま運用する","データを使わずに予測を行う",1,"デジタルツインは物理的対象を仮想化しリアルタイム分析を可能にする。","ストラテジ","標準"
63003,"Federated Learningの主な利点はどれか？","中央サーバに全データを集約する","分散ノードで学習しプライバシーを保護する","学習モデルを暗号化しない","データ非公開で検証を行わない",2,"Federated Learningはデータをローカルに保持しモデルのみ共有する。","テクノロジ","応用"
63004,"エッジコンピューティングの利点はどれか？","データ処理をクラウドみに任せる","遅延を低減し帯域幅利用を最適化する","デバイスの電力消費を必ず増加させる","全てのデータを手動転送する",2,"エッジ処理でレイテンシ低減とネットワーク負荷軽減が可能。","テクノロジ","標準"
63005,"プライベート5Gの特徴として適切なものはどれか？","パブリック5Gと同様にISPが管理する","閉域網内での低遅延・高信頼通信を実現する","5GとWi-Fiの両方をサポートしない","全ての帯域を共用する",2,"プライベート5Gは企業内など閉域網の通信に最適化されている。","テクノロジ","初級"
63006,"Serverless Computingの利点はどれか？","サーバ調達と管理の手間が不要になる","利用者がOS管理を行う必要がある","リソースは常時固定化される","容量無制限で請求が変わらない",1,"Serverlessはインフラ管理をクラウド側に移管し開発者負荷を軽減する。","テクノロジ","標準"
63007,"APIファースト設計の利点はどれか？","開発前にAPI契約を定義し連携と品質を向上させる","APIを後付けすると設計が簡単になる","UI設計を優先してAPIは省略する","API管理は不要",1,"APIファーストは仕様を先行定義し、一貫性と品質を高める。","ストラテジ","標準"
63008,"マイクロサービスアーキテクチャの特徴はどれか？","全機能が単一モジュールに含まれる","機能を小さく分割し独立デプロイ可能にする","1つのデータベースのみを強制する","同期通信しかサポートしない",2,"マイクロサービスは独立した小サービス群で疎結合と俊敏性を実現する。","テクノロジ","標準"
63009,"ソフトウェアサプライチェーンリスクを低減する手法はどれか？","SBOMを作成し脆弱性情報と突合する","外部ライブラリは無条件で最新化する","ライセンス確認は不要","依存関係を非公開にする",1,"SBOMと脆弱性管理で供給網の健全性を担保する。","マネジメント","標準"
63010,"量子コンピューティングが将来実用化された場合、従来暗号方式で危殆化する可能性が高いものはどれか？","楕円曲線暗号(ECC)","ワンタイムパッド","AES","SHA-256",1,"量子アルゴリズムはECCやRSAなど素因数分解系を脅かす。","テクノロジ","応用"
63011,"生成AIのハルシネーションを抑制するための有効手段はどれか？","モデルパラメータを増やす","RAGを用い外部知識を参照し根拠を付与する","学習データを一切更新しない","出力をそのまま利用者へ提供する",2,"RAGは外部ドキュメントを参照し、根拠付き回答で精度向上を図る。","テクノロジ","応用"
63012,"プロンプトインジェクション対策として適切なものはどれか？","ユーザ入力をそのままモデルへ渡す","検証済みプロンプトテンプレートを使用しホワイトリスト化する","全出力を自動で公開する","モデルへのアクセスを無制限にする",2,"ホワイトリスト化したテンプレートで入力を制御する。","テクノロジ","標準"
63013,"Differential Privacyの特徴はどれか？","個別データが直接復元できる","集計結果にノイズを付加し個別情報を保護する","データ全体を公開する","匿名と同じ概念",2,"集計にノイズを加えプライバシーを保護する手法である。","テクノロジ","応用"
63014,"AI倫理ガイドラインで求められる透明性(Explainability)を高める技術はどれか？","ブラックボックスモデルのみを使用する","SHAPやLIMEなどの説明手法を適用する","ランダムフォレストのみを利用する","説明は不要",2,"SHAPやLIMEは予測理由の可視化を支援する代表手法。","マネジメント","標準"
63015,"MLOpsパイプラインでFeature Storeを活用する目的はどれか？","機能ストアを使わずに速度を優先する","特徴量管理と再利用性を向上し一貫性を保つ","人手で特徴量を抽出し続ける","特徴量は学習データにしか保存しない",2,"Feature Storeは特徴量の一元管理と再利用性を確保する。","テクノロジ","標準"
63016,"Hybrid Cloudのメリットはどれか？","全てをパブリッククラウドに移行する","パブリッククラウドとオンプレミスを組み合わせて柔軟性と制御性を両立する","クラウドは使わずオンプレミスのみを維持する","一度構成したら変更不可",2,"ハイブリッドクラウドはワークロードに応じ最適配置が可能。","ストラテジ","標準"
63017,"パスキー(WebAuthn)の利点はどれか？","パスワードと同じ使い回しが可能","公開鍵暗号基盤でフィッシング耐性が高い","SMS認証と同等のセキュリティ","リセットは不要",2,"パスキーは公開鍵認証により強力なフィッシング対策を実現。","テクノロジ","初級"
63018,"クラウド責任共有モデルで利用者が負う責任はどれか？","ハードウェアの物理保守","データ暗号化とアクセスコントロール","データセンタの電源管理","基盤ハイパーバイザの脆弱性対応",2,"利用者はデータ・OS・アクセス管理の責任を負う。","テクノロジ","標準"
63019,"プライバシー・バイ・デザインの原則で正しいものはどれか？","後からプライバシー保護を追加する","企画段階からプライバシーを設計に組み込む","運用段階のみで考慮する","法令遵守は不要",2,"Privacy by Designは設計初期から組み込むことが必要。","マネジメント","標準"
63020,"クラウドコスト最適化で利用しない手法はどれか？","オートスケールで動的調整","未使用リソースの自動停止","定期的なリソース棚卸と整理","常に最大スペックを固定化する",4,"常時最大固定はコスト効率が悪化する。","マネジメント","初級"
63021,"Zero-Knowledge Proofの特徴はどれか？","証明対象を明かしたまま検証する","証明対象を隠したまま特定知識を所有することを示す","全ての情報を公開する","検証を不要とする",2,"秘匿したまま正当性を証明するプロトコル。","テクノロジ","応用"
63022,"Homomorphic Encryptionの利点はどれか？","暗号化したまま計算できる","復号後のみ計算可能","データを暗号化せずに保存する","量子耐性を持たない",1,"同型暗号は暗号文上で演算し結果も暗号のまま保たれる。","テクノロジ","応用"
63023,"Secure AggregationがFederated Learningに必要な理由はどれか？","モデル更新を中央サーバで全公開する","各ノードの更新を暗号化して合算しプライバシーを保護する","学習データを公開する","安全性は不要",2,"個別更新を暗号化して集約し、データ漏洩を防止する。","テクノロジ","応用"
63024,"Edge AIデバイスにおけるモデル推論で重要なのはどれか？","高帯域幅のネットワーク接続のみ","省電力・低遅延・オンデバイス推論","大量データをクラウドに送信してから推論","モデルは常に訓練状態",2,"Edge AIは端末で省電力かつ低遅延に推論を行う。","テクノロジ","標準"
63025,"IoTデバイスセキュリティで実装すべき基本機能はどれか？","デフォルトの共通パスワードを維持する","セキュアブート・ファームウェア署名・TLS通信","共通鍵を全デバイスで共有する","ログは無効化",2,"シグネチャ検証やTLSでデバイスの起動と通信を保護する。","テクノロジ","標準"
63026,"5Gの特徴として該当しないものはどれか？","高信頼・低遅延通信(URLLC)","大量同時接続(mMTC)","低速長距離通信のみ","高速大容量通信(eMBB)",3,"5Gは高速・低遅延・多数接続がすべて特徴である。","テクノロジ","初級"
63027,"DevSecOpsの要点として最も適切なのはどれか？","セキュリティはリリース後に集中して実施","開発・運用パイプラインにセキュリティを組み込む","速度優先で検査を省略","専門部門に一任",2,"パイプラインへセキュリティ検査を組み込むことが不可欠。","マネジメント","標準"
63028,"CI/CDパイプラインでShift Leftを実現する目的はどれか？","テストを本番後に行う","開発初期段階でセキュリティや品質を検証する","リリースを年1回に制限する","運用と開発を分断する",2,"早期検証で欠陥発見を促進しコスト低減を図る。","マネジメント","標準"
63029,"クラウドSLAで保証対象外となるものはどれか？","サービスの可用性レベル","メンテナンス計画の通知","データ損失による損害賠償","予期せぬ天災によるサービス停止",4,"天災など不可抗力は通常SLAの補償対象外である。","マネジメント","標準"
63030,"データガバナンスの柱とならないものはどれか？","データ品質管理","メタデータ管理","アクセス制御","単一システムに依存しない",4,"ガバナンスは管理体制や品質・セキュリティを軸に構築する。","ストラテジ","標準"
63031,"データレイクとデータウェアハウスの違いはどれか？","両者に差はない","データウェアハウスは構造化データを最適化し、データレイクは多様データを生データで保持する","レイクはリアルタイム分析に特化","ウェアハウスは非構造データのみ",2,"レイクは多様形式を生データで保持、ウェアハウスは集計最適化。","テクノロジ","標準"
63032,"AutoMLのメリットはどれか？","全て手動でチューニングする","モデル選択やハイパーパラメータ最適化を自動化する","学習データは不要","運用は不要",2,"AutoMLはモデル探索・チューニングを自動化し開発効率を上げる。","テクノロジ","標準"
63033,"データ最小化の原則として適切な説明はどれか？","目的達成に必要最小限のデータを収集・保持する","できるだけ多く収集して後で活用","期限なく恒久保存","目的外利用を前提に取得",1,"必要最小限収集と保持がプライバシー保護の基本である。","マネジメント","初級"
63034,"フェデレーテッドIDで主に使用される技術はどれか？","SAML/OIDCなどの標準プロトコル","IPsecのみ","VPNに限定","LDAPだけ",1,"SAMLやOIDCがIDフェデレーションの代表的プロトコルである。","テクノロジ","標準"
63035,"Zero Trustの原則に組み込まれないものはどれか？","継続的検証","最小権限","境界防御のみ","マイクロ セグメンテーション",3,"ゼロトラストは境界防御のみに頼らず継続的検証を行う。","マネジメント","標準"
63036,"クラウドポータビリティを高める要素はどれか？","ベンダー固有APIの利用","コンテナやIaCによる抽象化","手動設定の多用","ハードコーディング",2,"抽象化技術でクラウド間移行性を高める。","テクノロジ","標準"
63037,"Disaster RecoveryのRTOとは何を示すか？","復旧までの最大許容ダウンタイム","データ損失の許容量","復旧コスト","運用コストの総額",1,"RTOはサービス復旧までの許容時間を示す指標。","マネジメント","標準"
63038,"DLP(Data Loss Prevention)で検出対象とならないのはどれか？","機密データの不正持ち出し","適切なコンテンツ監視","脆弱性スキャン","通信経路の監視",3,"DLPはデータの流出防止に特化し、脆弱性スキャンは別領域。","テクノロジ","標準"
63039,"SREのエラーバジェットの概念はどれか？","障害発生を無制限に許容する","許容可能な稼働率差分で、SLI/SLO超過時の開発制限を示す","必ず100%可用性を維持する","監視を不要とする",2,"エラーバジェットは可用性許容度を数値化し開発速度を制御する。","マネジメント","応用"
63040,"APIゲートウェイの主な機能はどれか？","ピアツーピア通信のみ","認証・認可・ルーティング・レート制限を提供する","DBクエリの最適化","UIレンダリング",2,"APIゲートウェイはセキュリティ制御やトラフィック管理を担う。","テクノロジ","標準"
63041,"クラウドインフラでのImmutable Infrastructureの特徴はどれか？","既存サーバを随時パッチする","サーバを再作成して変更管理する","手動構成変更を推奨する","常に同一イメージを使用不可",2,"再デプロイで環境一致と変更トレーサビリティを実現する。","テクノロジ","標準"
63042,"DevOps文化で重視されないものはどれか？","協力と共通目標","継続的学習と改善","開発と運用の壁を強化する","自動化推進",3,"DevOpsは開発運用の壁を取り払い、協働を進める文化。","マネジメント","標準"
63043,"クラウドセキュリティのShared Responsibility Modelでベンダー責任範囲はどれか？","物理データセンタの保護","ユーザのデータ暗号化","OSアプライアップデート","アプリケーション脆弱性管理",1,"クラウド事業者はハード面や基盤のセキュリティを担保する。","テクノロジ","標準"
63044,"データサイエンスプロジェクトのCRISP-DMモデルで最初のフェーズはどれか？","データ準備","ビジネス理解","モデル評価","展開",2,"CRISP-DMはビジネス理解から始めるデータサイエンスプロセス。","ストラテジ","標準"
63045,"OAuth 2.0におけるAuthorization Code Flowの特徴はどれか？","クライアントシークレットを不要とする","認可コードを取得してからアクセストークンを交換する","アクセストークンを直接URLで返す","パスワードを公開する",2,"認可サーバからコードを受け取り、サーバ間でトークン交換する。","テクノロジ","標準"
63046,"高可用性を実現するためのActive-Active構成の利点はどれか？","待機系サーバは完全停止する","複数リージョンで同時に処理してフェイルオーバ時間を削減する","同期を一切行わない","常時片方のみ稼働",2,"Active-Activeは複数ノードで同時処理し切替遅延を抑える。","マネジメント","標準"
63047,"データレジデンシに関する規制で考慮すべき点はどれか？","任意の国に自由に保存可能","法令や契約で指定された地域内にデータを保存・処理する","保存場所は常に公開してよい","海外転送は自動的に許可される",2,"地域制限を遵守し監査可能性を確保する必要がある。","ストラテジ","標準"
63048,"ObservabilityとMonitoringの違いはどれか？","Observabilityは外形監視のみを指す","Monitoringは既知問題の検知、Observabilityは未知の挙動解析に必要なデータ生成を含む","両者に差はない","Monitoringは高度な分析を含む",2,"Observabilityはログ/メトリクス/トレースで未知問題を分析する。","テクノロジ","応用"
63049,"プライバシー規制対応フレームワークでISO/IEC 27701が提供するものはどれか？","個人情報保護マネジメントシステムの拡張","暗号アルゴリズムのみ","クラウド基盤の評価指標","ネットワーク構成ガイド",1,"ISO/IEC 27701はPIMSに関する追加要求を規定する。","マネジメント","標準"
63050,"DevSecOpsのパイプラインでソフトウェアコンポーネント脆弱性を検出するツールはどれか？","SAST","DAST","SCA","UAT",3,"SCAは依存コンポーネントの脆弱性を検出する。","テクノロジ","標準"
63051,"RAGにおいて外部知識を効果的に活用するための手法はどれか？","プロンプト内に全文コーパスを埋め込む","ドキュメント埋め込みとベクトル検索で関連情報を取得する","手動で要約を追加する","ハイパーパラメータを最大化する",2,"ドキュメントを埋め込みベクトル化し類似度検索で適切情報を抽出して回答に活用する。","テクノロジ","応用"
63052,"IoTメッシュネットワークの利点はどれか？","中央ゲートウェイに依存せず自己修復と拡張性を確保する","スター型と同じ構造である","通信を常にクラウド経由とする","ノード間の直接通信を禁止する",1,"メッシュネットワークはノード間で自律的にルーティングし耐障害性と拡張性を向上させる。","テクノロジ","標準"
63053,"OAuth 2.0とOIDCの関係で正しいものはどれか？","OIDCはOAuth 2.0の認可機能を拡張して認証機能を追加したもの","OAuth 2.0はOIDCの上位プロトコルである","OIDCは認可のみを扱う","両者は互換性がない",1,"OIDCはOAuth 2.0の認可フローにIDトークンを追加し認証機能を提供する規格。","テクノロジ","標準"
63054,"ポスト量子暗号の一つである格子暗号の特徴はどれか？","素因数分解問題に基づく","格子構造の困難性を利用し量子耐性を持つ","離散対数問題に類似する","対称鍵暗号のみを対象とする",2,"格子暗号はグラフ格子の困難性に基づき、量子攻撃にも耐性を示す。","テクノロジ","応用"
63055,"SREのエラーバジェット運用で推奨される行動はどれか？","エラーバジェット消費時に開発速度を一時的に制限する","常に100%可用性を目指す","エラーバジェットは無制限とする","監視を停止する",1,"可用性目標超過時に開発速度を抑え、信頼性改善に注力する。","マネジメント","標準"
63056,"AIOpsの導入効果として期待されないものはどれか？","異常検知の自動化","イベントノイズの低減","全システムの手動オペレーション強化","予測的メンテナンス",3,"AIOpsは自動化と予測を推進し、手動オペレーションを減らすことが目的。","マネジメント","標準"
63057,"クラウドマネージドKubernetesサービスの例として誤っているものはどれか？","Amazon EKS","Google GKE","Azure AKS","オンプレミスRancherのみ",4,"Rancherは管理プラットフォームであり、マネージドK8sサービスではない。","テクノロジ","初級"
63058,"Data Meshの概念で強調される要素はどれか？","中央集権的データチーム管理","ドメインごとのデータ所有とセルフサービスポリシー","全データをサイロ化する","ETLを排除する",2,"Data Meshはドメイン分散ガバナンスとセルフサービスを組み合わせたアーキテクチャ。","ストラテジ","標準"
63059,"グラフデータベースの利用用途として最も適切なものはどれか？","大量ログの時系列処理","リレーショナルテーブル検索","複雑なノード間関係を巡回検索するソーシャルネットワーク分析","ドキュメントストレージ",3,"グラフDBはノードとエッジの関係探索に優れ、ソーシャルやネットワーク分析で活用。","テクノロジ","標準"
63060,"合成データ（Synthetic Data）の利点はどれか？","実データと同じプライバシー制約を持つ","個人情報を含まずモデルの学習や検証に利用できる","常に実データと同等の品質を保証する","非構造化データに適用不可",2,"合成データはプライバシーリスクを抑えつつモデル学習・検証用データを生成できる。","テクノロジ","標準"
63061,"WebAssemblyの用途として正しいものはどれか？","ブラウザ外でのみ実行可能","JavaScript代替として高速処理やマルチランゲージ実行を提供する","HTMLの代替マークアップ言語である","データベースクエリ言語である",2,"WebAssemblyはブラウザ内外でJavaScriptと協調し高速バイナリ実行を可能にする。","テクノロジ","標準"
63062,"5Gネットワークスライシングの目的はどれか？","全帯域を均一に分割して全ユーザへ提供する","用途別に仮想的ネットワークを切り分け品質保証する","Wi-Fiのみを5Gで置き換える","レガシーLTEと無関係である",2,"スライシングは要件に応じたネットワーク仮想化で品質やセキュリティを分離提供。","テクノロジ","応用"
