"ID","Question","Option1","Option2","Option3","Option4","Answer","Explanation"
1,"Bluetooth に追加された仕様の一つであり, 省電力性に優れているので, IoT システムを長期間運用でき, 送受信デバイス間の距離を知ることにも使われているものはどれか。","ア BLE","イ IrDA","ウ NFC","エ PLC",1,"（解説なし）"
2,"HTTP プロキシサーバの機能に関する記述として, 適切なものはどれか。","ア IPアドレス割当て要求をPCから受け付けて,割り当てるグローバルIPアドレスを返す。","イ PC から, インターネット上の Web サーバへの接続要求を中継役として受けて PC に代わって当該の Web サーバに接続し、 送受信データを中継する。","ウ Web サーバの URL に対応する IP アドレスを求める要求をPCから受け付けて, その IP アドレスを返す。","エ Web サーバのコンテンツが検索結果の上位に表示されるように, その Web サーバが管理するコンテンツを書き換える。",2,"（解説なし）"
3,"DNS の説明として、 適切なものはどれか。","ア IP ネットワークに接続しようとするコンピュータに, IP アドレスなどを自動的に割り当てるプロトコルである。","イ ブラウザと Web サーバ間の通信を暗号化して, セキュリティを高めるために利用されるプロトコルである。","ウ ホスト名やドメイン名と, IP アドレスを対応付ける仕組みである。","エ ホスト名やドメイン名と, MAC アドレスを対応付ける仕組みである。",3,"（解説なし）"
4,"ISMSにおける内部監査に関する記述のうち, 適切なものはどれか。","ア JIS Q 27001の要求事項及び組織自体が規定した要求事項によって定める監査基準への適合性だけでなく, ISMS 活動の組織に対する有効性も判定する。","イ JIS Q 27001の要求事項ではなく, 組織自体が規定した要求事項を監査基準とする。","ウ 内部監査の実施のためのプログラムを確立するときには、前回の内部監査の結果は考慮しない。","エ 不定期かつ抜き打ちでの実施を原則とする。",1,"（解説なし）"
5,"TCP/IP ネットワークで用いられるプロトコルである FTP の役割として,適切なものはどれか。","ア 正確な現在時刻を取得する。","イ 電子メールを転送する。","ウ ネットワーク接続に必要なIPアドレスなどの情報を自動的に割り当てる。","エ ファイルをPC間で転送する。",4,"（解説なし）"
6,"DBMS のトランザクションに関する記述として、 適切なものはどれか。","ア あるデータベースの内容を他のデータベースに複製し, 内容の同期をとる。","イ データベースに対して行った操作を, 順次記録する。","ウ データベースに対する一連の処理が全て成功したら変更結果を確定し,途中で失敗したら処理前の状態に戻す。","エ データベースの表の索引を作成し, 検索時には索引を使用する。",3,"（解説なし）"
7,"OS の仮想記憶方式に関する次の記述中の a〜c に入れる字句の適切な組合せはどれか。 プログラムの実行時に, コンピュータの a 装置の b な容量に制約されない, c なアドレス空間を提供する。","ア 主記憶 物理的 論理的","イ 主記憶 論理的 物理的","ウ 補助記憶 物理的 論理的","エ 補助記憶 論理的 物理的",1,"（解説なし）"
8,"データの尺度を名義尺度, 順序尺度, 間隔尺度, 比例尺度の四つに分類したとき,間隔尺度に該当するものはどれか。","ア 学年","イ 血液型","ウ 時刻","エ 睡眠時間",3,"（解説なし）"
9,"Web サイトなどで RSS の表記を見かけることがある。 この RSS の説明として, 適切なものはどれか。","ア Web ページの統一的なデザインやレイアウトを定義するための規格","イ Web ページの見出しやリンク, 要約などを記述するフォーマット","ウ ネットワーク上にブックマークを登録することによって, 利用価値の高い Web サイト情報を他の利用者と共有するサービス","エ ブラウザと Web サーバ間で,データを暗号化して安全に送受信するためのプロトコル",2,"（解説なし）"
10,"DBMSにおいて, データの検索を高速に行う目的で,必要に応じて設定して利用する情報はどれか。","ア インデックス","イ 外部キー","ウ 主キー","エ スキーマ",1,"（解説なし）"
11,"3次元画像処理の高速化や, 動画をなめらかにするなどの機能をもつ, 描画処理のためのハードウェアはどれか。","ア CGI","イ GPU","ウ GUI","エ UPS",2,"（解説なし）"
12,"CSIRT として行う活動の例として, 最も適切なものはどれか。","ア OSやアプリケーションソフトウェアのセキュリティパッチを定期的に適用する。","イ 地震や洪水などの自然災害を想定し, 情報資産を守るために全社的な事業継続計画を策定する。","ウ セキュリティ事故の発生時に影響範囲を調査して, 被害拡大を防止するための対策実施を支援する。","エ 保守業者がサーバ室で作業した日に, 作業員の入退出が適切に記録されていたことを監査する。",3,"（解説なし）"
13,"バイオメトリクス認証の他人受入率と本人拒否率に関する次の記述中の a, b に入れる字句の適切な組合せはどれか。 バイオメトリクス認証の認証精度において,他人受入率を低く抑えようとすると a が高くなり,本人拒否率を低く抑えようとすると b が高くなる。","ア 安全性 可用性","イ 安全性 利便性","ウ 利便性 安全性","エ 利便性 可用性",2,"（解説なし）"
14,"情報セキュリティにおける脅威のうち, 脆弱性を是正するセキュリティパッチをソフトウェアに適用することが最も有効な対策になるものはどれか。","ア 総当たり攻撃","イ ソーシャルエンジニアリング","ウ パスワードリスト攻撃","エ バッファオーバーフロー",4,"（解説なし）"
15,"携帯電話で用いられる電波に関する次の記述中の a, b に入れる字句の適切な組合せはどれか。 電波には, 周波数が a ほど回り込みやすくなり障害物の裏にも届きやすいという性質がある。 日本国内の携帯電話で使用される周波数のうち,700 MHz帯~900 MHz帯の周波数帯域はこの性質をもちつながりやすいことなどから, b プラチナバンドと呼ばれている。","ア 高い GHz","イ 高い MHz","ウ 低い GHz","エ 低い MHz",4,"（解説なし）"
16,"見る人に意図が伝わりやすいデザインにするための四つの原則に関する次の記述中の a, b に入れる字句の適切な組合せはどれか。 [四つの原則] 近接 : 互いに関連する要素は近づけてグループにする。 a :要素を意図したルールに基づき配置する。 反復:要素ごとにデザインルールを繰り返す。 b : 要素ごとの大小や強弱などの違いを明確にする。","ア 整列 価値","イ 整列 対比","ウ 操作 価値","エ 操作 対比",2,"（解説なし）"
